file,contract,function,gastap_failed,gastap_sol,failed,sol,experiment_duration,gastap_const,gastap_param,const,param,solc_failed,solc_sol
0x69583c6f3d60786e7fd4054c2d539771c36944c1.sol,token,"transfer(address,uint256)",False,217,False,142.0000,14,True,False,True,False,False,226
0x69583c6f3d60786e7fd4054c2d539771c36944c1.sol,Crowdsale,setPrice(uint256),False,21182,False,20497.0000,14,True,False,True,False,False,20591
0x69583c6f3d60786e7fd4054c2d539771c36944c1.sol,Crowdsale,buyTokens(address),False,97338,False,"ExternalCall['tokenReward.transfer__beneficiary, tokens__']*1.0000 + 39765.0000 + 0.0938*returndatasize",14,True,False,True,False,True,0
0x69583c6f3d60786e7fd4054c2d539771c36944c1.sol,Crowdsale,withdrawTokens(uint256),False,38347,False,"ExternalCall['tokenReward.transfer__wallet,_amount__']*1.0000 + 9450.0000 + 0.0938*returndatasize",14,True,False,True,False,True,0
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,StandardToken,"approve(address,uint256)",False,22316,False,22253.0000,14,True,False,True,False,False,22331
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,StandardToken,balanceOf(address),False,1210,False,475.0000,14,True,False,True,False,False,625
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,StandardToken,"allowance(address,address)",False,1379,False,606.0000,14,True,False,True,False,False,794
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,StandardToken,"transferFrom(address,address,uint256)",True,,False,64555.0000,14,False,False,True,False,True,0
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,StandardToken,"transfer(address,uint256)",False,45342,False,43409.0000,14,True,False,True,False,False,43557
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,Ownable,transferOwnership(address),False,21997,False,20856.0000,14,True,False,True,False,False,20806
0xa138fdb33b51f8533b5e7a435f263ba9d4100c69.sol,MultiOwnable,isOwner(address),False,1258,False,623.0000,14,True,False,True,False,False,673
