start_time,end_time,function,contract,file,gas_estimation,error,failed,timeout
1690865473,1690865483,"uploadBalances(address[],uint256[])",IDXM,0x0daf4cd0d8f3132ca5eb256abbe03d45dbbaf7c4.sol,5382039.0000 + 20936.0000*calldatasize + 3.0000*balances + 3.0000*addresses + 20936.0000*fresh__0__,,False,False
1690866776,1690866786,"uploadBalances(address[],uint256[])",IDXM,0x0daf4cd0d8f3132ca5eb256abbe03d45dbbaf7c4.sol,22423.0000 + 3.0000*balances + 1.2500*g__balancesLocked__ + 20937.0000*fresh__0__ + 3.0000*addresses + 1.2500*calldatasize,,False,False
1690866999,1690867010,"uploadBalances(address[],uint256[])",IDXM,0x0daf4cd0d8f3132ca5eb256abbe03d45dbbaf7c4.sol,22423.4980 + 1.0020*g__balancesLocked__ + 3.0000*addresses + 1.0020*calldatasize + 3.0000*balances + 20936.0000*fresh__0__,,False,False
1690867126,1690867138,"uploadBalances(address[],uint256[])",IDXM,0x0daf4cd0d8f3132ca5eb256abbe03d45dbbaf7c4.sol,22423.0000 + 20936.0000*fresh__0__ + 3.0000*addresses + 3.0000*balances,,False,False
1690865449,1690865452,purchasedAmountBy(address),SYC2ndEarlyPurchase,0x3b575cf90f684f1441f32fb32a01b3613973958c.sol,411.2500 + 1470.0000*g__earlyPurchases__,,False,False
1690866752,1690866756,purchasedAmountBy(address),SYC2ndEarlyPurchase,0x3b575cf90f684f1441f32fb32a01b3613973958c.sol,411.2500 + 1470.0000*g__earlyPurchases__,,False,False
1690866975,1690866979,purchasedAmountBy(address),SYC2ndEarlyPurchase,0x3b575cf90f684f1441f32fb32a01b3613973958c.sol,1470.0000*g__earlyPurchases__ + 1881.0000,,False,False
1690867102,1690867107,purchasedAmountBy(address),SYC2ndEarlyPurchase,0x3b575cf90f684f1441f32fb32a01b3613973958c.sol,2967.0000 + 1470.0000*g__earlyPurchases__,,False,False
1690865449,1690865450,"tokenFallback(address,uint256,bytes)",UserWallet,0x4a96a471dae05d667648cf97fbf0ed926ced059a.sol,0.0938*data + 331.0000,,False,False
1690866752,1690866754,"tokenFallback(address,uint256,bytes)",UserWallet,0x4a96a471dae05d667648cf97fbf0ed926ced059a.sol,331.0000 + 0.0938*data,,False,False
