file_name,method,terminates,memory,opcode
0x2241db52d71da500b00aec4e19a910702087a3c6.sol,,,,
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.balanceOf:address,True,15,1249
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.name,True,maximize_failed,3156+850*nat(name/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,"EtownCoinTest.allowance:address,address",True,15,1413
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,"EtownCoinTest.approve:address,uint256",True,15,22338
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,"EtownCoinTest.transferFrom:address,address,uint256",True,15,67843
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.symbol,True,maximize_failed,3310+850*nat(symbol/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.standard,True,maximize_failed,3266+850*nat(standard/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,"EtownCoinTest.transfer:address,uint256",True,15,46825
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.decimals,True,15,1115
0xC1746273C53b9BF2D827B01B3974113bb597EAeB.sol,EtownCoinTest.totalSupply,True,15,1023
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.withdraw,True,21,97309
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.owner,True,15,1093
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.tokenAddress,True,15,1115
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.lockTime,True,15,979
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.year,True,15,289
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,BetinaTimeLock.startTime,True,15,1023
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,exToken.balanceOf:address,True,15,246
0x77d19214d20edcefff04f9cc362fed4a99fb5212.sol,"exToken.transfer:address,uint256",True,15,309
0xbe4a09d4661f631f7e13aa2d5719efc476fb211c.sol,,,,
0x3c6ce03a4ae39d56da53fbb045cedd2d750e4531.sol,DynamicToken.contractOwner,True,15,1467
0x3c6ce03a4ae39d56da53fbb045cedd2d750e4531.sol,"DynamicToken.allowance:address,address",True,15,1778
0x3c6ce03a4ae39d56da53fbb045cedd2d750e4531.sol,DynamicToken.close,True,15,25043
0x3c6ce03a4ae39d56da53fbb045cedd2d750e4531.sol,"DynamicToken.issue:address,uint256,string",,,
0x3c6ce03a4ae39d56da53fbb045cedd2d750e4531.sol,DynamicToken.accounts:uint256,True,15,2521
