start_time,end_time,function,contract,file,gas_estimation,error,failed,timeout
1670603175,1670603175,"approve(address,uint256)",Token,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'Token', '--function_name', 'approve(address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,"approve(address,uint256)",StandardToken,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'StandardToken', '--function_name', 'approve(address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,"transferFrom(address,address,uint256)",StandardToken,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'StandardToken', '--function_name', 'transferFrom(address,address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
start_time,end_time,function,contract,file,gas_estimation,error,failed,timeout
1670603175,1670603175,"allowance(address,address)",Token,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'Token', '--function_name', 'allowance(address,address)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,balanceOf(address),Token,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'Token', '--function_name', 'balanceOf(address)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,"transfer(address,uint256)",Token,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'Token', '--function_name', 'transfer(address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,"destroy(address,uint256)",ReserveToken,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'ReserveToken', '--function_name', 'destroy(address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,balanceOf(address),StandardToken,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'StandardToken', '--function_name', 'balanceOf(address)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
1670603175,1670603175,"transfer(address,uint256)",StandardToken,0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol,,"Command '['python', '-u', 'gas-new/synthesizer.py', '--root_dir', 'dataset/gastap_dataset/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118', '--file_name', '0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.sol', '--contract_name', 'StandardToken', '--function_name', 'transfer(address,uint256)', '--output_file', 'experiments/results/0x4bbdeadf8334e8a85d3e22ec090af74c3a673118.csv', '--use_const_cnt', '1', '--use_const_gas']' returned non-zero exit status 2.",True,False
